builderCandidates,builderProductCandidates,completion,confidence,finalMap,firstOccupancy,grading,infrastructure,knownLifecycleAdditions,limitations,mapRecordingDate,matchedAddressPointCount,modelHomes,neighborhoodCandidates,partialOccupancy,planning,recording,reviewStatus,roads,sales,sourceIds,substantialOccupancy,tentativeMap,tractId,tractNumber,utilities,verticalConstruction,villageCandidates
Warmington,LH-PRODUCT-COVENANT-HILLS-MERIDEN,product_level_upper_bound_only,medium,MM 839/1-18,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-12-17,3,unknown,Covenant Hills;Meriden 2,unknown,not_reconstructed,2002-12-17,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-15987,15987,unknown,unknown,Covenant Hills
,,unknown,medium,MM 854/6-16,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-01-30,58,unknown,CH Custom,unknown,not_reconstructed,2004-01-30,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-15988,15988,unknown,unknown,Covenant Hills
K. Hovnanian,LH-PRODUCT-COVENANT-HILLS-CAPISTRANO,product_level_upper_bound_only,medium,MM 863/8-14,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-11-15,35,unknown,Capistrano,unknown,not_reconstructed,2004-11-15,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-15989,15989,unknown,unknown,Covenant Hills
,,unknown,medium,MM 862/34-41,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-10-28,42,unknown,Amarante 2 / Bellataire 2,unknown,not_reconstructed,2004-10-28,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-15990,15990,unknown,unknown,Covenant Hills
John Laing Homes;Warmington,LH-PRODUCT-AVENDALE-CHARLESTON-PLACE;LH-PRODUCT-AVENDALE-ST-MAYS-ROAD,unknown,medium,MM 812/22-29,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-01-26,112,unknown,Branches;Charleston Place;Christopher Homes;St. Mays Road,unknown,not_reconstructed,2001-01-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16025,16025,unknown,unknown,Avendale
,,unknown,recording_high_physical_lifecycle_unknown,MM 818/32-40,unknown,unknown,unknown,,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-05-25,0,unknown,,unknown,not_reconstructed,2001-05-25,physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS,unknown,not_reconstructed,LH-TRACT-16063,16063,unknown,unknown,
William Lyon Homes,LH-PRODUCT-AVENDALE-STERLING-GLEN,unknown,medium,MM 820/21-25,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-06-29,21,unknown,Sterling Glen 1,unknown,not_reconstructed,2001-06-29,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16101,16101,unknown,unknown,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-WILLOW-BEND,unknown,medium,MM 819/1-5,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-06-12,41,unknown,Willow Bend 1,unknown,not_reconstructed,2001-06-12,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16102,16102,unknown,unknown,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-CANOPY-LANE,unknown,medium,MM 817/1-5,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-06-12,36,unknown,Canopy Lane 1,unknown,not_reconstructed,2001-06-12,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16103,16103,unknown,unknown,Avendale
Centex Homes,LH-PRODUCT-AVENDALE-TETHER-MOON,unknown,medium,MM 821/35-40,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-07-31,72,unknown,Tether Moon 1,unknown,not_reconstructed,2001-07-31,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16104,16104,unknown,unknown,Avendale
Barratt American,LH-PRODUCT-AVENDALE-SAVANNAH,unknown,medium,MM 823/18-26,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-04-01,83,unknown,Savannah,unknown,not_reconstructed,2001-04-01,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16105,16105,unknown,unknown,Avendale
Centex Homes,LH-PRODUCT-AVENDALE-TETHER-MOON,unknown,medium,MM 821/41-44,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-07-31,35,unknown,Tether Moon 2,unknown,not_reconstructed,2001-07-31,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16114,16114,unknown,unknown,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-CANOPY-LANE,unknown,medium,MM 825/40-45,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-02-14,53,unknown,Canopy Lane 3,unknown,not_reconstructed,2002-02-14,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16115,16115,unknown,unknown,Avendale
William Lyon Homes,LH-PRODUCT-AVENDALE-WEATHERHAVEN,unknown,medium,MM 830/35-40,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-05-16,72,unknown,Weatherhaven,unknown,not_reconstructed,2002-05-16,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16116,16116,unknown,unknown,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-CANOPY-LANE,unknown,medium,MM 826/1-3,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-12-26,25,unknown,Canopy Lane 2;Canopy Lane 3,unknown,not_reconstructed,2001-12-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16117,16117,unknown,unknown,Avendale
William Lyon Homes,LH-PRODUCT-AVENDALE-STERLING-GLEN,unknown,medium,MM 823/30-33,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-10-26,48,unknown,Sterling Glen 2,unknown,not_reconstructed,2001-10-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16118,16118,unknown,unknown,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-WILLOW-BEND,unknown,medium,MM 824/48-50,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-12-26,13,unknown,Willow Bend 2,unknown,not_reconstructed,2001-12-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16119,16119,unknown,unknown,Avendale
John Laing Homes,LH-PRODUCT-AVENDALE-SUMNERS-WAY,unknown,medium,MM 822/40-43,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-10-12,29,unknown,Sumners Way 1,unknown,not_reconstructed,2001-10-12,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16120,16120,unknown,unknown,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-WILLOW-BEND,unknown,medium,MM 825/46-50,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-12-26,47,unknown,Willow Bend 3,unknown,not_reconstructed,2001-12-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16121,16121,unknown,unknown,Avendale
John Laing Homes,LH-PRODUCT-AVENDALE-SUMNERS-WAY,unknown,medium,MM 823/34-38,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-12-26,29,unknown,Sumners Way 2,unknown,not_reconstructed,2001-12-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16122,16122,unknown,unknown,Avendale
Warmington Homes,LH-PRODUCT-AVENDALE-ASTORIA,unknown,medium,MM 824/15-20,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-11-08,43,unknown,Astoria 2,unknown,not_reconstructed,2001-11-08,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16126,16126,unknown,unknown,Avendale
Barratt American;Warmington Homes,LH-PRODUCT-AVENDALE-ASTORIA;LH-PRODUCT-AVENDALE-SAVANNAH,unknown,medium,MM 821/29-34,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-07-30,43,unknown,Astoria 1;Savannah,unknown,not_reconstructed,2001-07-30,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16127,16127,unknown,unknown,Avendale
John Laing Homes,LH-PRODUCT-AVENDALE-ST-MAYS-ROAD,unknown,medium,MM 812/30-39,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-01-26,56,unknown,St. Mays Road,unknown,not_reconstructed,2001-01-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16155,16155,unknown,unknown,Avendale
D.R. Horton,LH-PRODUCT-AVENDALE-GREENBRIAR,unknown,medium,MM 812/40-48,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-01-26,66,unknown,Greenbriar,unknown,not_reconstructed,2001-01-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16156,16156,unknown,unknown,Avendale
D.R. Horton;John Laing Homes;Shea Homes;Standard Pacific;Warmington,LH-PRODUCT-AVENDALE-BERKSHIRE;LH-PRODUCT-AVENDALE-CHARLESTON-PLACE;LH-PRODUCT-AVENDALE-FRONT-STREET;LH-PRODUCT-AVENDALE-GREENBRIAR;LH-PRODUCT-AVENDALE-ST-MAYS-ROAD,unknown,medium,MM 813/1-9,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-01-26,295,unknown,Berkshire;Charleston Place;Front Street;Greenbriar;St. Mays Road,unknown,not_reconstructed,2001-01-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16157,16157,unknown,unknown,Avendale
William Lyon Homes,LH-PRODUCT-WYCLIFFE-DAVENPORT,unknown,medium,MM 826/8-20,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-01-24,255,unknown,Davenport;Sansovino,unknown,not_reconstructed,2002-01-24,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16203,16203,unknown,unknown,Bridgepark;Flintridge;Wycliffe
Shea Homes,LH-PRODUCT-ECHO-RIDGE-ATHERTON-GLEN,unknown,medium,MM 825/19-29,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-12-26,100,unknown,Atherton Glen,unknown,not_reconstructed,2001-12-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16234,16234,unknown,unknown,Echo Ridge
,,unknown,recording_high_physical_lifecycle_unknown,MM 825/30-39,unknown,unknown,unknown,,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-02-14,0,unknown,,unknown,not_reconstructed,2002-02-14,physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS,unknown,not_reconstructed,LH-TRACT-16235,16235,unknown,unknown,
,,unknown,medium,MM 832/24-29,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-05-29,68,unknown,Tattershall 1,unknown,not_reconstructed,2002-05-29,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-16236,16236,unknown,unknown,Flintridge;Village 4
,,unknown,medium,MM 835/17-20,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-08-14,37,unknown,Lexington 1,unknown,not_reconstructed,2002-08-14,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-16237,16237,unknown,unknown,Flintridge
,,unknown,medium,MM 835/21-25,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-08-21,55,unknown,Tamarind 1,unknown,not_reconstructed,2002-08-21,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-16238,16238,unknown,unknown,Flintridge
John Laing,LH-PRODUCT-ECHO-RIDGE-POTTERS-BEND,unknown,medium,MM 834/9-15,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-06-26,53,unknown,Potters Bend,unknown,not_reconstructed,2002-06-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16239,16239,unknown,unknown,Echo Ridge
MBK Homes,LH-PRODUCT-ECHO-RIDGE-SYLVAN-OAKS,unknown,medium,MM 834/22-25,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-06-28,69,unknown,Sylvan Oaks,unknown,not_reconstructed,2002-06-28,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16240,16240,unknown,unknown,Echo Ridge;Township
Shea Homes,LH-PRODUCT-ECHO-RIDGE-LEXINGTON,unknown,medium,MM 840/32-36,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-02-25,43,unknown,Lexington 2,unknown,not_reconstructed,2003-02-25,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16241,16241,unknown,unknown,Echo Ridge
K Hovnanian,LH-PRODUCT-ECHO-RIDGE-TRAIL-RIDGE,unknown,medium,MM 833/24-27,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-06-18,37,unknown,Trail Ridge 1,unknown,not_reconstructed,2002-06-18,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16242,16242,unknown,unknown,Echo Ridge
,,unknown,recording_high_physical_lifecycle_unknown,MM 835/34-39,unknown,unknown,unknown,,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-08-30,0,unknown,,unknown,not_reconstructed,2002-08-30,physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS,unknown,not_reconstructed,LH-TRACT-16243,16243,unknown,unknown,
Shea Homes,LH-PRODUCT-ECHO-RIDGE-LEXINGTON,unknown,medium,MM 840/47-50,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-05-02,35,unknown,Lexington 3,unknown,not_reconstructed,2003-05-02,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16244,16244,unknown,unknown,Echo Ridge
K Hovnanian,LH-PRODUCT-ECHO-RIDGE-TRAIL-RIDGE,unknown,medium,MM 835/7-11,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-07-26,63,unknown,Trail Ridge 2,unknown,not_reconstructed,2002-07-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16245,16245,unknown,unknown,Echo Ridge
Standard Pacific Homes,LH-PRODUCT-ECHO-RIDGE-TAMARIND,unknown,medium,MM 842/45-49,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-05-02,50,unknown,Tamarind 1;Tamarind 2,unknown,not_reconstructed,2003-05-02,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16246,16246,unknown,unknown,Echo Ridge
Richmond American,LH-PRODUCT-WYCLIFFE-CHESAPEAKE,unknown,medium,MM 832/16-19,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-05-24,37,unknown,Chesapeake 2,unknown,not_reconstructed,2002-05-24,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16247,16247,unknown,unknown,Wycliffe
Barratt Homes,LH-PRODUCT-WYCLIFFE-SURREY-FARM,unknown,medium,MM 839/27-33,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-01-17,34,unknown,Surrey Farms 2,unknown,not_reconstructed,2003-01-17,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16248,16248,unknown,unknown,Wycliffe
